x,y,z,T,p
0.809574,0.0867524,0.05,300.001,22.4698
0.648522,0.0741306,0.05,300.002,41.6022
0.720479,0.0525044,0.05,300.086,33.0308
0.0134778,0.0119741,0.05,300.143,153.302
0.312766,0.0124385,0.05,304.572,83.5032
0.220725,0.0547026,0.05,300.005,96.7789
0.7178,0.0851569,0.05,300.001,33.3467
0.893585,0.0725555,0.05,300.007,12.5465
0.619901,0.0378265,0.05,300.553,45.0309
0.00871859,0.071861,0.05,300,148.092
0.224453,0.0125223,0.05,303.205,96.0846
0.178958,0.0857371,0.05,300,103.209
0.985272,0.0254595,0.05,303.886,1.73543
0.838037,0.0921656,0.05,300.001,19.1047
0.405358,0.0237258,0.05,301.465,71.3736
0.328171,0.00616044,0.05,309.32,81.4164
0.979529,0.054967,0.05,300.144,2.41242
0.897252,0.0924472,0.05,300.001,12.1132
0.207137,0.0276473,0.05,300.328,98.8061
0.315164,0.0715969,0.05,300,83.2065
0.556831,0.0637183,0.05,300.006,52.6317
0.759841,0.00996665,0.05,311.925,28.3575
0.811788,0.00373789,0.05,318.054,22.2075
0.166555,0.053116,0.05,300.003,105.564
0.731376,0.00382588,0.05,317.159,31.7334
0.915927,0.0101186,0.05,313.264,9.91016
0.564027,0.0336993,0.05,300.644,51.7597
0.138806,0.0946368,0.05,300,109.897
0.0315965,0.0409938,0.05,300.001,140.215
0.610728,0.0349653,0.05,300.779,46.1314
0.454585,0.0847161,0.05,300,65.1689
0.685335,0.0596449,0.05,300.021,37.2115
0.281462,0.0306226,0.05,300.358,87.8609
0.57543,0.0993768,0.05,300,50.3741
0.405604,0.00185639,0.05,314.412,71.3259
0.893136,0.0299469,0.05,302.333,12.5995
0.375127,0.0623639,0.05,300.003,75.2724
0.830223,0.0603217,0.05,300.035,20.0295
0.669724,0.072571,0.05,300.003,39.0708
0.703831,0.00583944,0.05,314.804,35.006
0.425403,0.0649436,0.05,300.002,68.8405
0.739314,0.00485201,0.05,316.36,30.7914
0.301668,0.0582557,0.05,300.003,85.073
0.556234,0.0267897,0.05,301.54,52.7014
0.0813076,0.0972856,0.05,300,121.739
0.783404,0.0848185,0.05,300.001,25.5666
0.185637,0.0713991,0.05,300,102.237
0.753217,0.0729612,0.05,300.003,29.144
0.346038,0.0113203,0.05,305.818,79.0487
0.526638,0.0317611,0.05,300.811,56.3008
0.254678,0.00555876,0.05,307.728,91.6015
0.184529,0.0934041,0.05,300,102.248
0.0890218,0.097332,0.05,300,119.772
0.557906,0.0445595,0.05,300.153,52.5032
0.389396,0.047848,0.05,300.05,73.4345
0.614401,0.0320698,0.05,300.995,45.69
0.0817698,0.0890563,0.05,300,121.978
0.697164,0.0983263,0.05,300,35.7991
0.141647,0.00711842,0.05,304.276,109.415
0.389837,0.0859043,0.05,300,73.3506
0.0563758,0.0187004,0.05,300.243,130.698
0.350227,0.0464099,0.05,300.058,78.5358
0.456338,0.0712042,0.05,300.001,64.9587
0.78622,0.0270588,0.05,302.525,25.2339
0.11352,0.0451529,0.05,300.007,115.856
0.123774,0.0551682,0.05,300.001,113.632
0.721893,0.0949571,0.05,300,32.8595
0.0356273,0.0424294,0.05,300.001,138.873
0.0246638,0.0419108,0.05,300.001,142.242
0.32205,0.0983485,0.05,300,82.2341
0.382971,0.0848184,0.05,300,74.2352
0.235484,0.0624931,0.05,300.001,94.5292
0.218634,0.023375,0.05,300.772,97.0132
0.0847838,0.0293086,0.05,300.09,122.504
0.814324,0.0991517,0.05,300,21.9076
0.524873,0.0417032,0.05,300.196,56.5192
0.833217,0.051966,0.05,300.119,19.6758
0.442345,0.064336,0.05,300.003,66.7106
0.705107,0.0306383,0.05,301.507,34.8571
0.460861,0.0974556,0.05,300,64.3818
0.82649,0.0380537,0.05,300.749,20.4707
0.0635618,0.0427785,0.05,300.004,129.463
0.609775,0.0450937,0.05,300.199,46.2472
0.149301,0.0438573,0.05,300.022,108.619
0.32952,0.0818719,0.05,300,81.2547
0.691367,0.0104697,0.05,310.802,36.4898
0.538382,0.0927567,0.05,300,54.8623
0.834575,0.0605821,0.05,300.034,19.5151
0.0707546,0.0106408,0.05,301.13,125.182
0.540295,0.0911881,0.05,300,54.6303
0.625438,0.0102733,0.05,310.246,44.3623
0.616434,0.0804049,0.05,300.001,45.4439
0.117939,0.0759057,0.05,300,114.32
0.738682,0.00811713,0.05,313.303,30.8666
0.106811,0.0514898,0.05,300.002,117.433
0.924453,0.0150342,0.05,309.196,8.90473
0.888809,0.00822152,0.05,314.689,13.1095
0.867455,0.0334912,0.05,301.486,15.6309
0.134381,0.0392556,0.05,300.034,111.42
0.585399,0.0495803,0.05,300.072,49.1811
0.807335,0.0721089,0.05,300.005,22.7353
0.908739,0.0446896,0.05,300.446,10.7589
0.63255,0.059847,0.05,300.017,43.5153
0.317768,0.0344226,0.05,300.258,82.863
0.456928,0.0879406,0.05,300,64.8754
0.138281,0.0815994,0.05,300,110.225
0.700989,0.0686415,0.05,300.006,35.347
0.501575,0.0969635,0.05,300,59.3557
0.589225,0.01529,0.05,306.689,48.7135
0.640304,0.0581836,0.05,300.028,42.5871
0.575592,0.0688914,0.05,300.003,50.3614
0.283378,0.0632897,0.05,300.001,87.6049
0.596416,0.0901999,0.05,300,47.8467
0.0076171,0.0717817,0.05,300,148.201
0.204914,0.0735353,0.05,300,99.1455
0.452683,0.0734621,0.05,300.001,65.4126
0.409958,0.0853356,0.05,300,70.7812
0.757983,0.00925887,0.05,312.5,28.5777
0.746358,0.0142011,0.05,308.343,29.9565
0.164027,0.0936774,0.05,300,105.586
0.239225,0.0602026,0.05,300.001,93.9795
0.0886284,0.0634251,0.05,300,121.776
0.424266,0.0560477,0.05,300.009,68.9896
0.675342,0.0213056,0.05,304.047,38.4002
0.433562,0.0187431,0.05,303.164,67.8025
0.45991,0.00512559,0.05,312.677,64.5012
0.00315941,0.0225716,0.05,300.002,151.114
0.0894406,0.0854967,0.05,300,120.229
0.792838,0.0126989,0.05,309.942,24.4497
0.463447,0.0205361,0.05,302.828,64.07
