x,y,z,U_0,U_1,U_2
0.809574,0.0867524,0.05,6.66451,-0.000614969,0
0.648522,0.0741306,0.05,11.2368,-0.00404809,0
0.720479,0.0525044,0.05,14.5595,-0.000525121,0
0.0134778,0.0119741,0.05,9.84085,0.814283,0
0.312766,0.0124385,0.05,6.71292,0.0168297,0
0.220725,0.0547026,0.05,13.6714,-0.0318015,0
0.7178,0.0851569,0.05,7.43438,-0.00131133,0
0.893585,0.0725555,0.05,11.7533,-0.00081527,0
0.619901,0.0378265,0.05,13.7093,0.00434159,0
0.00871859,0.071861,0.05,10.0978,-0.331007,0
0.224453,0.0125223,0.05,7.00211,0.0340452,0
0.178958,0.0857371,0.05,7.80016,-0.0656353,0
0.985272,0.0254595,0.05,11.2862,0.000440215,0
0.838037,0.0921656,0.05,4.26866,-0.000239209,0
0.405358,0.0237258,0.05,10.8289,0.0214346,0
0.328171,0.00616044,0.05,3.51551,0.00613774,0
0.979529,0.054967,0.05,14.4372,-0.000175556,0
0.897252,0.0924472,0.05,4.14615,-0.000149639,0
0.207137,0.0276473,0.05,11.9689,0.106952,0
0.315164,0.0715969,0.05,12.0348,-0.0452016,0
0.556831,0.0637183,0.05,13.6093,-0.00787969,0
0.759841,0.00996665,0.05,5.28938,0.000572259,0
0.811788,0.00373789,0.05,2.08749,0.000125273,0
0.166555,0.053116,0.05,13.3598,-0.0353856,0
0.731376,0.00382588,0.05,2.11225,0.000233134,0
0.915927,0.0101186,0.05,5.35374,0.000201774,0
0.564027,0.0336993,0.05,13.2015,0.0081395,0
0.138806,0.0946368,0.05,3.44144,-0.0304321,0
0.0315965,0.0409938,0.05,10.6154,0.25866,0
0.610728,0.0349653,0.05,13.2514,0.00515528,0
0.454585,0.0847161,0.05,7.85199,-0.00804275,0
0.685335,0.0596449,0.05,14.1335,-0.0025013,0
0.281462,0.0306226,0.05,12.474,0.0588201,0
0.57543,0.0993768,0.05,0.370015,-8.12601e-05,0
0.405604,0.00185639,0.05,1.12444,0.000767484,0
0.893136,0.0299469,0.05,12.3406,0.000834082,0
0.375127,0.0623639,0.05,13.676,-0.0259711,0
0.830223,0.0603217,0.05,14.065,-0.000975141,0
0.669724,0.072571,0.05,11.6188,-0.00357486,0
0.703831,0.00583944,0.05,3.32879,0.000380238,0
0.425403,0.0649436,0.05,13.4372,-0.021157,0
0.739314,0.00485201,0.05,2.61554,0.000304388,0
0.301668,0.0582557,0.05,13.911,-0.0316164,0
0.556234,0.0267897,0.05,11.6192,0.0081415,0
0.0813076,0.0972856,0.05,2.1138,-0.0720394,0
0.783404,0.0848185,0.05,7.63916,-0.000852416,0
0.185637,0.0713991,0.05,12.1258,-0.129675,0
0.753217,0.0729612,0.05,11.6613,-0.00211848,0
0.346038,0.0113203,0.05,6.11794,0.0117378,0
0.526638,0.0317611,0.05,12.7541,0.0103838,0
0.254678,0.00555876,0.05,3.46697,0.00742114,0
0.184529,0.0934041,0.05,4.17598,-0.017063,0
0.0890218,0.097332,0.05,1.99617,-0.0610253,0
0.557906,0.0445595,0.05,14.43,0.00363022,0
0.389396,0.047848,0.05,14.3474,0.00453375,0
0.614401,0.0320698,0.05,12.8315,0.00569201,0
0.0817698,0.0890563,0.05,7.59104,-0.339229,0
0.697164,0.0983263,0.05,0.988584,-9.66192e-05,0
0.141647,0.00711842,0.05,4.55425,0.0395197,0
0.389837,0.0859043,0.05,7.13122,-0.0120206,0
0.0563758,0.0187004,0.05,10.7432,0.783372,0
0.350227,0.0464099,0.05,14.1789,0.0094581,0
0.456338,0.0712042,0.05,12.0867,-0.0165204,0
0.78622,0.0270588,0.05,11.665,0.00169063,0
0.11352,0.0451529,0.05,12.6781,0.0849049,0
0.123774,0.0551682,0.05,12.8344,-0.0820308,0
0.721893,0.0949571,0.05,2.78937,-0.000326721,0
0.0356273,0.0424294,0.05,10.7279,0.222289,0
0.0246638,0.0419108,0.05,10.3985,0.209589,0
0.32205,0.0983485,0.05,1.02169,-0.00118402,0
0.382971,0.0848184,0.05,7.77358,-0.0134517,0
0.235484,0.0624931,0.05,13.3849,-0.0717134,0
0.218634,0.023375,0.05,10.8281,0.0834508,0
0.0847838,0.0293086,0.05,11.9155,0.435712,0
0.814324,0.0991517,0.05,0.499875,-2.16485e-05,0
0.524873,0.0417032,0.05,14.2307,0.00670027,0
0.833217,0.051966,0.05,14.6924,-0.00022115,0
0.442345,0.064336,0.05,13.4142,-0.0171094,0
0.705107,0.0306383,0.05,12.5019,0.00302726,0
0.460861,0.0974556,0.05,1.42197,-0.000987688,0
0.82649,0.0380537,0.05,13.8809,0.00113138,0
0.0635618,0.0427785,0.05,11.5907,0.202256,0
0.609775,0.0450937,0.05,14.3778,0.00213863,0
0.149301,0.0438573,0.05,13.0918,0.0729514,0
0.32952,0.0818719,0.05,8.89032,-0.0257883,0
0.691367,0.0104697,0.05,5.53315,0.000973888,0
0.538382,0.0927567,0.05,3.96923,-0.00172559,0
0.834575,0.0605821,0.05,14.0406,-0.000970399,0
0.0707546,0.0106408,0.05,7.71344,0.437303,0
0.540295,0.0911881,0.05,4.72636,-0.00224084,0
0.625438,0.0102733,0.05,5.45063,0.0014913,0
0.616434,0.0804049,0.05,9.29936,-0.00382695,0
0.117939,0.0759057,0.05,11.355,-0.278223,0
0.738682,0.00811713,0.05,4.38582,0.000505485,0
0.106811,0.0514898,0.05,12.5674,-0.0288213,0
0.924453,0.0150342,0.05,7.63348,0.000317436,0
0.888809,0.00822152,0.05,4.42659,0.000185331,0
0.867455,0.0334912,0.05,13.1161,0.000989802,0
0.134381,0.0392556,0.05,12.8589,0.144974,0
0.585399,0.0495803,0.05,14.6325,0.000260708,0
0.807335,0.0721089,0.05,11.8593,-0.00147338,0
0.908739,0.0446896,0.05,14.4607,0.000312503,0
0.63255,0.059847,0.05,14.0992,-0.00364915,0
0.317768,0.0344226,0.05,13.1215,0.0427102,0
0.456928,0.0879406,0.05,6.36097,-0.00585074,0
0.138281,0.0815994,0.05,9.84868,-0.162032,0
0.700989,0.0686415,0.05,12.6479,-0.00309058,0
0.501575,0.0969635,0.05,1.72357,-0.000825168,0
0.589225,0.01529,0.05,7.55511,0.0033432,0
0.640304,0.0581836,0.05,14.2049,-0.00288893,0
0.575592,0.0688914,0.05,12.6081,-0.00737719,0
0.283378,0.0632897,0.05,13.4501,-0.0529904,0
0.596416,0.0901999,0.05,5.23313,-0.00170486,0
0.0076171,0.0717817,0.05,10.0768,-0.288582,0
0.204914,0.0735353,0.05,11.7812,-0.109375,0
0.452683,0.0734621,0.05,11.536,-0.0163625,0
0.409958,0.0853356,0.05,7.33921,-0.011021,0
0.757983,0.00925887,0.05,4.95597,0.000522796,0
0.746358,0.0142011,0.05,7.25285,0.000997538,0
0.164027,0.0936774,0.05,4.12252,-0.0184813,0
0.239225,0.0602026,0.05,13.5523,-0.0586962,0
0.0886284,0.0634251,0.05,12.1632,-0.288489,0
0.424266,0.0560477,0.05,14.3766,-0.0106872,0
0.675342,0.0213056,0.05,9.89112,0.00287244,0
0.433562,0.0187431,0.05,9.07981,0.0126943,0
0.45991,0.00512559,0.05,2.76287,0.00227256,0
0.00315941,0.0225716,0.05,10.0173,0.173928,0
0.0894406,0.0854967,0.05,8.70912,-0.341444,0
0.792838,0.0126989,0.05,6.57433,0.000624221,0
0.463447,0.0205361,0.05,9.68384,0.0117159,0
