x,y,u,v,T,p
0.790115,0.0367178,13.537,0.00140335,301.001,24.7734
0.286056,0.0465848,14.1296,0.0167237,300.025,87.2452
0.40946,0.01779,8.66039,0.0141433,303.592,70.8473
0.213606,0.0788217,10.2915,-0.0807783,300,97.7741
0.738979,0.0661625,13.0836,-0.00223855,300.012,30.8335
0.439036,0.00431271,2.38632,0.00204011,312.959,67.1059
0.738813,0.0308282,12.5464,0.00240729,301.585,30.8529
0.509439,0.0811031,9.05447,-0.00760562,300,58.398
0.917412,0.032767,12.992,0.000717172,301.747,9.73561
0.461718,3.87E-05,0.0232313,1.06E-05,317.178,64.275
0.195523,0.0411472,13.4139,0.0720994,300.043,100.722
0.509089,0.00207893,1.16931,0.000560337,315.998,58.4348
0.676476,0.0457898,14.6271,0.00136508,300.161,38.2675
0.715553,0.0470759,14.6758,0.000746033,300.15,33.6164
0.717636,0.0156268,7.7669,0.00140299,307.372,33.3662
0.492635,0.0883722,6.13466,-0.00433919,300,60.4574
0.947838,0.0453419,14.5534,0.000220826,300.421,6.14788
0.000439383,0.0689718,10.0006,-0.0103824,300,148.032
0.630347,0.0107964,5.66958,0.00155182,309.961,43.7742
0.892374,0.0159216,7.87715,0.000438128,308.649,12.689
0.876171,0.0368021,13.7367,0.000874497,300.938,14.602
0.220081,0.0880901,6.55543,-0.0343421,300,96.742
0.374854,0.0986886,0.799606,-0.000665621,300,75.2723
0.657165,0.0516962,14.661,-0.000652411,300.069,40.572
0.568721,0.000986148,0.585859,0.000137608,317.805,51.1841
0.357797,0.0974112,1.56106,-0.00162929,300,77.4923
0.75675,0.0722148,11.8357,-0.0020795,300.004,28.7252
0.0773729,0.028401,11.8093,0.499087,300.087,124.555
0.0973446,0.065021,12.2878,-0.289104,300,119.448
0.0076827,0.0639065,10.0539,-0.159716,300,146.383
0.258183,0.075413,11.0916,-0.0630092,300,91.156
0.606353,0.0305767,12.4865,0.0059493,301.196,46.6563
0.460224,0.0306148,12.4687,0.016089,300.78,64.4756
0.875248,0.0767277,10.5709,-0.000825513,300.003,14.7106
0.516694,0.023043,10.5352,0.00949164,302.311,57.5117
0.602403,0.0631613,13.6703,-0.00549652,300.009,47.1321
0.768105,0.0987585,0.732131,-4.45E-05,300,27.3778
0.964559,0.0631668,13.7425,-0.000481103,300.035,4.17663
0.575197,0.0220259,10.1621,0.00596362,303.065,50.4068
0.169679,0.0969307,1.86615,-0.0120437,300,104.654
0.334153,0.0827906,8.66697,-0.0227567,300,80.6345
0.476263,0.0112451,5.96188,0.00467002,307.681,62.4764
0.247431,0.0697863,12.389,-0.0763867,300,92.7388
0.828967,0.096015,2.17353,-0.000129845,300,20.1765
0.605404,0.0545729,14.642,-0.00247708,300.029,46.7725
0.304865,0.0761892,10.9614,-0.0449041,300,84.6003
0.723794,0.0175974,8.57993,0.00157708,306.135,32.6349
0.864262,0.0793479,9.64722,-0.000758001,300.002,16.0076
0.485827,0.0752171,11.1165,-0.0127403,300,61.3015
0.888961,0.076674,10.4545,-0.000713832,300.005,13.0921
0.890207,0.0629678,13.6017,-0.000704324,300.034,12.9454
0.535791,0.0079151,4.3574,0.00189703,311.041,55.1775
0.287981,0.0574943,13.9124,-0.0317583,300.003,86.9715
0.429121,0.0102512,5.51929,0.00571844,307.793,68.3545
0.550178,0.0738505,11.2498,-0.007775,300.001,53.4356
